TEMPS SLEEP= 5000000;;;;;;;;;;;;;;;;;;;TEMPS SLEEP= 2500000;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;limit=20;;;;;limit=10;;;;;limit=200;;;
limit = 20;;;;;limit=10;;;;;limit=200;;;;limit=50;;;;;0,398405;;;;;0,398522;;;;;0,396965;;;
0,399482;;;;;0,40052;;;;;0,398693;;;;0,398207;;;;;0,396405;;;;;0,397313;;;;;0,400489;;;
0,399724;;;;;0,40005;;;;;0,401645;;;;0,39851;;;;;0,397897;;;;;0,39761;;;;;0,39626;;;
0,400418;;;;;0,399822;;;;;0,397843;;;;0,393087;;;;;0,397869;;;;;0,397481;;;;;0,401847;;;
0,399925;;;;;0,400057;;;;;0,398417;;;;0,395905;;;;;0,394836;;;;;0,397485;;;;;0,405774;;;
0,399804;;;;;0,399539;;;;;0,398019;;;;0,399085;;;;;0,396217;;;;;0,399173;;;;;0,40054;;;
0,399706;;;;;0,399701;;;;;0,398366;;;;0,399233;;;;;0,396352;;;;;0,397677;;;;;0,403343;;;
0,399201;;;;;0,399606;;;;;0,403091;;;;0,385907;;;;;0,396196;;;;;0,398905;;;;;0,39941;;;
0,39887;;;;;0,399278;;;;;0,400782;;;;0,392786;;;;;0,400252;;;;;0,399103;;;;;0,396484;;;
0,398758;;;;;0,399492;;;;;0,401448;;;;0,399619;;;;;0,398328;;;;;0,398063;;;;;0,401173;;;
0,398724;;;;;0,400181;;;;;0,399802;;;;0,399635;;;;;0,397046;;;;;0,401264;;;;;0,396085;;;
0,398467;;;;;0,398858;;;;;0,397952;;;;0,399832;;;;;0,397526;;;;;0,400024;;;;;0,401512;;;
0,399011;;;;;0,399286;;;;;0,39866;;;;0,40005;;;;;0,396108;;;;;0,397369;;;;;0,396178;;;
0,399291;;;;;0,399607;;;;;;;;;0,399878;;;;;0,396556;;;;;0,398478;;;;;0,400488;;;
0,398853;;;;;0,400249;;;;;;;;;0,394702;;;;;0,39674;;;;;0,402285;;;;;0,396791;;;
0,398665;;;;;0,397234;;;;;;;;;0,398468;;;;;0,396905;;;;;0,399823;;;;;0,402537;;;
0,398845;;;;;0,397257;;;;;;;;;0,398422;;;;;0,391819;;;;;0,400369;;;;;0,40577;;;
0,399416;;;;;0,399072;;;;;;;;;0,399194;;;;;0,394395;;;;;0,398761;;;;;0,400486;;;
0,399102;;;;;0,399462;;;;;;;;;0,398951;;;;;0,395251;;;;;0,396847;;;;;0,40497;;;
0,399229;;;;;0,399016;;;;;;;;;0,398645;;;;;0,394721;;;;;0,396631;;;;;0,401048;;;
0,398974;;;;;0,399998;;;;;;;;;0,397884;;;;;0,399794;;;;;0,396967;;;;;0,396552;;;
0,399177;;;;;0,402473;;;;;;;;;0,399227;;;;;0,398973;;;;;0,389318;;;;;0,399424;;;
0,39884;;;;;0,400981;;;;;;;;;0,399316;;;;;0,39964;;;;;0,398281;;;;;0,396739;;;
0,399727;;;;;0,39795;;;;;;;;;0,39817;;;;;0,399455;;;;;0,397656;;;;;0,401486;;;
0,399406;;;;;0,398109;;;;;;;;;0,398106;;;;;0,398989;;;;;0,396473;;;;;0,396851;;;
0,399065;;;;;0,398751;;;;;;;;;0,399165;;;;;0,397204;;;;;0,398057;;;;;0,401175;;;
0,399022;;;;;0,399447;;;;;;;;;0,399003;;;;;0,397583;;;;;0,393073;;;;;;;;
0,401127;;;;;0,397903;;;;;;;;;0,399149;;;;;0,397512;;;;;0,397295;;;;;;;;
0,398752;;;;;0,399041;;;;;;;;;0,393157;;;;;0,396436;;;;;0,397893;;;;;;;;
0,398855;;;;;0,400788;;;;;;;;;0,400003;;;;;0,397318;;;;;0,396841;;;;;;;;
0,398404;;;;;0,399963;;;;;;;;;0,399819;;;;;0,398721;;;;;0,397348;;;;;;;;
0,398653;;;;;0,399279;;;;;;;;;0,397898;;;;;0,399433;;;;;0,398361;;;;;;;;
0,398852;;;;;0,398799;;;;;;;;;0,398881;;;;;0,396958;;;;;0,397488;;;;;;;;
0,398012;;;;;0,400364;;;;;;;;;0,398542;;;;;0,397116;;;;;0,397097;;;;;;;;
0,398596;;;;;0,400328;;;;;;;;;0,398525;;;;;0,397997;;;;;0,399347;;;;;;;;
0,397867;;;;;0,398729;;;;;;;;;0,398568;;;;;0,397019;;;;;0,398164;;;;;;;;
0,398222;;;;;0,399286;;;;;;;;;0,395748;;;;;0,397068;;;;;0,403965;;;;;;;;
0,399201;;;;;0,398464;;;;;;;;;0,400508;;;;;0,39692;;;;;0,400547;;;;;;;;
0,398896;;;;;0,399608;;;;;;;;;0,400164;;;;;0,396289;;;;;0,395073;;;;;;;;
0,397581;;;;;0,398788;;;;;;;;;0,398712;;;;;0,39831;;;;;0,396247;;;;;;;;
0,397972;;;;;0,399486;;;;;;;;;0,398621;;;;;0,399753;;;;;0,39564;;;;;;;;
0,399523;;;;;0,399865;;;;;;;;;0,400612;;;;;0,399239;;;;;0,39643;;;;;;;;
0,399424;;;;;0,399505;;;;;;;;;0,398926;;;;;0,393452;;;;;0,39694;;;;;;;;
0,400196;;;;;0,399821;;;;;;;;;0,391223;;;;;0,394174;;;;;0,39829;;;;;;;;
0,399446;;;;;0,399296;;;;;;;;;0,395521;;;;;0,396416;;;;;0,397209;;;;;;;;
0,39989;;;;;0,400418;;;;;;;;;0,399876;;;;;0,396525;;;;;0,396818;;;;;;;;
0,399617;;;;;0,400016;;;;;;;;;0,399695;;;;;0,395232;;;;;0,400302;;;;;;;;
0,398277;;;;;0,39993;;;;;;;;;0,399978;;;;;0,395336;;;;;0,395792;;;;;;;;
0,398832;;;;;0,399904;;;;;;;;;0,400059;;;;;0,395251;;;;;0,3979;;;;;;;;
0,397932;;;;;0,39987;;;;;;;;;0,400638;;;;;0,395543;;;;;0,39703;;;;;;;;
0,398515;;;;;0,399827;;;;;;;;;0,399898;;;;;0,395773;;;;;0,398707;;;;;;;;
0,399665;;;;;0,398734;;;;;;;;;0,399866;;;;;0,395665;;;;;0,397956;;;;;;;;
0,399183;;;;;0,399476;;;;;;;;;0,400023;;;;;0,394338;;;;;0,397505;;;;;;;;
0,39904;;;;;0,399894;;;;;;;;;0,400202;;;;;0,395736;;;;;0,397911;;;;;;;;
0,399239;;;;;0,400182;;;;;;;;;0,399553;;;;;0,393718;;;;;0,397973;;;;;;;;
0,399306;;;;;0,399859;;;;;;;;;0,398841;;;;;0,3958;;;;;0,398914;;;;;;;;
0,398756;;;;;0,400033;;;;;;;;;0,398685;;;;;0,39692;;;;;0,398344;;;;;;;;
0,398524;;;;;0,400141;;;;;;;;;0,398233;;;;;0,397735;;;;;0,399172;;;;;;;;
0,398736;;;;;0,400002;;;;;;;;;0,398262;;;;;0,395263;;;;;0,401428;;;;;;;;
0,398774;;;;;0,398072;;;;;;;;;0,398263;;;;;0,3975;;;;;0,397771;;;;;;;;
0,398544;;;;;0,399063;;;;;;;;;0,398046;;;;;0,398025;;;;;0,397767;;;;;;;;
0,399665;;;;;0,399586;;;;;;;;;0,398078;;;;;0,398423;;;;;0,396622;;;;;;;;
0,399074;;;;;0,399739;;;;;;;;;0,399019;;;;;0,398553;;;;;0,399885;;;;;;;;
0,399742;;;;;0,400073;;;;;;;;;0,399253;;;;;0,398147;;;;;0,399306;;;;;;;;
0,399998;;;;;0,399832;;;;;;;;;0,398949;;;;;0,398863;;;;;0,399507;;;;;;;;
0,399869;;;;;0,400737;;;;;;;;;0,398517;;;;;0,398589;;;;;0,398022;;;;;;;;
0,399295;;;;;0,398484;;;;;;;;;0,398375;;;;;0,395158;;;;;0,397856;;;;;;;;
0,398977;;;;;0,400205;;;;;;;;;0,397805;;;;;0,396755;;;;;0,397706;;;;;;;;
0,399272;;;;;0,397077;;;;;;;;;0,398712;;;;;0,39914;;;;;0,402449;;;;;;;;
0,398115;;;;;0,399928;;;;;;;;;0,400072;;;;;0,398555;;;;;0,399485;;;;;;;;
0,39891;;;;;0,400188;;;;;;;;;0,399408;;;;;0,396217;;;;;0,398799;;;;;;;;
0,398862;;;;;0,399163;;;;;;;;;0,398557;;;;;0,396859;;;;;0,398126;;;;;;;;
0,399504;;;;;0,399488;;;;;;;;;0,399197;;;;;0,397673;;;;;0,397216;;;;;;;;
0,39876;;;;;0,399686;;;;;;;;;0,399341;;;;;0,397104;;;;;0,397677;;;;;;;;
